Input Bits,Counter Examples,0.1,0.3,0.5,0.7,0.9
6.0,0.0,-,15.0,15.0,15.0,15.0
6.0,0.01,5.0,5.0,5.0,5.0,5.0
6.0,0.05,5.0,5.0,5.0,5.0,9.0
6.0,0.1,-,12.0,12.0,12.0,14.0
6.0,0.2,-,5.0,5.0,5.0,-
7.0,0.0,-,36.0,36.0,36.0,36.0
7.0,0.01,8.0,8.0,8.0,8.0,8.0
7.0,0.05,-,8.0,8.0,17.0,30.0
7.0,0.1,-,8.0,8.0,15.0,15.0
7.0,0.2,-,8.0,8.0,8.0,8.0
