num_qubits,calculation_time_qaoa,calculation_time_wqaoa,calculation_time_vqe,success_rate_qaoa,success_rate_wqaoa,success_rate_vqe
3,1.232077916463216,1.1561702887217205,0.7389049530029297,1.0,1.0,1.0
4,1.5521857738494873,1.405729055404663,0.9458061059316,1.0,1.0,1.0
5,1.9873539606730144,1.6268136501312256,0.9701977570851644,1.0,1.0,1.0
6,2.563682238260905,2.2110047340393066,1.1826035976409912,1.0,1.0,0.9333333333333332
7,3.0076493422190347,2.591320037841797,1.4647552172342937,1.0,1.0,1.0
8,4.007099628448486,3.6815550327301025,1.9684967199961345,1.0,1.0,1.0
9,5.769929726918538,5.0814370314280195,2.687713305155436,1.0,1.0,0.9583333333333334
10,8.223020553588867,7.355960925420125,4.354947328567505,1.0,1.0,0.9666666666666667
11,12.580731391906738,11.389045000076294,7.997732639312744,1.0,1.0,1.0
12,21.498614231745403,18.474010944366455,13.549133936564127,0.9696969696969697,1.0,0.9696969696969697
13,36.44387173652649,30.521820306777954,23.88936964670817,0.8787878787878788,1.0,1.0
14,73.21237627665202,56.74932098388672,47.74310167630514,1.0,1.0,0.9393939393939394
15,151.35307868321738,115.48293058077495,90.93756262461345,1.0,0.9696969696969697,1.0
16,292.3191020488739,210.4618582725525,192.25374229749045,0.9444444444444443,0.9444444444444443,0.9722222222222222
17,530.3369309902191,436.12818002700806,373.13311163584393,0.9444444444444443,0.9444444444444443,0.9722222222222222
18,1004.1557669639587,831.045909245809,718.6623996893564,0.9166666666666666,1.0,0.9722222222222222
19,1914.5768580436707,1674.9518344402313,1546.0276808738708,0.8974358974358975,0.923076923076923,0.923076923076923
20,3681.3394788106284,3420.599171320597,3142.822203874588,0.9333333333333332,0.8444444444444444,0.9111111111111111
21,7137.63472088178,7807.873475710551,6827.679840723674,0.9555555555555556,0.8444444444444444,0.7999999999999999
