num_qubits,sample_probability,time_baseline_O0,time_baseline_O1,time_baseline_O2,time_baseline_O3,time_proposed,cx_count_baseline_O0,cx_count_baseline_O1,cx_count_baseline_O2,cx_count_baseline_O3,cx_count_proposed,considered_following_qubits
5,0.3,0.048130035400390625,0.022262096405029297,0.021767854690551758,0.03360700607299805,0.0012102127075195312,27,12,12,12,21,1
5,0.3,0.04933929443359375,0.027881860733032227,0.05246305465698242,0.09831595420837402,0.0028350353240966797,51,41,41,41,76,1000
5,0.7,0.02456974983215332,0.057900190353393555,0.046553850173950195,0.09906411170959473,7.867813110351562e-06,39,33,33,33,33,1
5,0.7,0.12287306785583496,0.0318148136138916,0.06165719032287598,0.1818702220916748,0.0012941360473632812,108,84,84,84,94,1000
10,0.3,0.07992005348205566,0.26566505432128906,1.8802831172943115,1.3944461345672607,0.003885984420776367,90,30,30,30,32,1
10,0.3,0.3732891082763672,0.14960098266601562,0.24360108375549316,0.5817620754241943,0.02568197250366211,396,209,208,208,425,1000
10,0.7,0.07947301864624023,0.06994199752807617,0.08973264694213867,0.489530086517334,0.0011849403381347656,123,42,42,42,42,1
10,0.7,0.7372863292694092,0.10885214805603027,0.16858291625976562,1.0113310813903809,0.0042879581451416016,855,555,533,522,517,1000
15,0.3,0.09760117530822754,0.6548061370849609,49.570170164108276,274.55789017677307,0.0037958621978759766,123,42,42,42,42,1
15,0.3,0.15696477890014648,0.09883713722229004,0.18477487564086914,1.1710450649261475,0.045239925384521484,777,470,474,432,1179,1000
15,0.7,0.40729784965515137,0.24300694465637207,2.17290997505188,2.2030370235443115,0.0011992454528808594,306,72,72,72,72,1
15,0.7,1.2279858589172363,0.23192405700683594,0.36411499977111816,2.71924090385437,0.018060684204101562,1791,1240,1305,1214,1387,1000
20,0.3,0.34700798988342285,0.44232869148254395,50.85255765914917,276.19680881500244,0.004968166351318359,180,48,48,48,56,1
20,0.3,0.5210540294647217,0.1706559658050537,0.269010066986084,1.4390437602996826,0.14226102828979492,1698,1153,1144,1040,1815,1000
20,0.7,0.2674839496612549,0.48271679878234863,50.276134729385376,164.1858217716217,0.003009796142578125,372,90,90,90,96,1
20,0.7,0.9264769554138184,0.26544690132141113,0.5880341529846191,5.127157926559448,0.028197765350341797,3645,2618,2431,2336,2093,1000
25,0.3,0.14489006996154785,0.29591894149780273,46.28635025024414,246.12914085388184,0.006745100021362305,258,66,66,66,110,1
25,0.3,1.9130959510803223,0.30637478828430176,1.3169569969177246,5.784756898880005,0.09470796585083008,3090,2071,2030,1952,3312,1000
25,0.7,0.37912607192993164,0.20305204391479492,2.158612012863159,2.8997371196746826,0.0019698143005371094,534,135,135,138,158,1
25,0.7,4.466233968734741,0.8067922592163086,1.205366849899292,7.7396440505981445,0.08906888961791992,6408,3913,3784,3598,3840,1000
30,0.3,0.36189913749694824,1.190613031387329,85.30902600288391,450.85078406333923,0.0189359188079834,141,72,72,72,90,1
30,0.3,4.068548917770386,0.6026449203491211,1.1051609516143799,6.0472259521484375,0.34963202476501465,6168,3469,3280,3210,4336,1000
30,0.7,0.37491512298583984,1.17582106590271,119.18946027755737,577.7457158565521,0.0026769638061523438,315,132,132,132,144,1
30,0.7,8.393026113510132,0.9031660556793213,1.931297779083252,12.626565217971802,0.09057092666625977,11547,6349,6142,5593,5018,1000
35,0.3,0.2526588439941406,1.094877004623413,94.49262619018555,482.31064200401306,0.03879189491271973,156,84,84,84,84,1
35,0.3,5.146835803985596,0.6269729137420654,1.3801536560058594,9.650935173034668,0.4479970932006836,8511,4622,4507,4293,6503,1000
35,0.7,0.5140609741210938,1.4350347518920898,127.88935804367065,605.288745880127,0.0035200119018554688,456,162,162,162,162,1
35,0.7,18.85614800453186,1.530703067779541,2.958754062652588,18.289100646972656,0.18027615547180176,15606,8521,8110,7819,7443,1000
40,0.3,0.39360499382019043,1.67134690284729,84.36406707763672,461.9989380836487,0.01262211799621582,156,84,84,84,84,1
40,0.3,8.873207092285156,0.9368901252746582,1.8688530921936035,12.47429871559143,0.33310699462890625,10539,6593,6331,6135,7990,1000
40,0.7,0.7177529335021973,1.4233238697052002,129.8829607963562,550.9422399997711,0.0053021907806396484,507,174,174,174,174,1
40,0.7,25.492882013320923,1.6385209560394287,3.787943124771118,21.97585415840149,0.17998075485229492,20424,10753,10497,10297,9092,1000
45,0.3,0.21622300148010254,0.9233648777008057,85.1607837677002,367.71503806114197,0.013749837875366211,168,96,96,96,108,1
45,0.3,11.510581016540527,1.0151450634002686,2.8273160457611084,14.535313844680786,0.47441601753234863,14268,8581,8163,8121,11273,1000
45,0.7,1.0090088844299316,1.9649169445037842,133.09334874153137,531.2196080684662,0.004628896713256836,537,204,204,204,210,1
45,0.7,34.00167393684387,1.8545260429382324,3.9530460834503174,28.79705286026001,0.3564162254333496,27099,14266,14134,13341,12919,1000
50,0.3,0.2567877769470215,0.9814231395721436,79.12298107147217,355.8924012184143,0.04616117477416992,180,108,108,108,126,1
50,0.3,12.885103940963745,1.4446499347686768,3.344980001449585,19.479383945465088,0.7118320465087891,18222,10916,10588,10404,12960,1000
50,0.7,0.9439563751220703,1.068300724029541,85.22506904602051,521.0915923118591,0.009698152542114258,561,228,228,228,234,1
50,0.7,47.964094161987305,2.1319711208343506,5.969269752502441,34.19778800010681,0.38675904273986816,36027,17343,17958,16701,14920,1000
55,0.3,0.0923612117767334,0.6222929954528809,50.93968391418457,341.7487459182739,0.059925079345703125,201,114,114,114,134,1
55,0.3,15.580928087234497,1.3115730285644531,3.2598981857299805,15.971359014511108,0.3942749500274658,23247,13297,12973,12582,15095,1000
55,0.7,0.2866230010986328,0.9254238605499268,87.08496308326721,521.200138092041,0.0066149234771728516,687,240,240,240,248,1
55,0.7,44.3020658493042,1.7800867557525635,3.9778518676757812,26.413452863693237,0.1668992042541504,41205,21547,21304,20631,16959,1000
60,0.3,0.1047523021697998,0.6906979084014893,60.36571288108826,347.29721188545227,0.016609907150268555,282,126,126,126,158,1
60,0.3,16.94610095024109,2.231144905090332,5.726686000823975,21.01106834411621,0.50357985496521,29562,16466,16481,15962,19444,1000
60,0.7,0.4055008888244629,0.9750790596008301,90.77887010574341,549.3499977588654,0.0070667266845703125,858,264,264,264,272,1
60,0.7,35.70409393310547,2.3563356399536133,4.498479127883911,28.77641797065735,0.2561616897583008,52755,27531,25584,24678,22156,1000
65,0.3,0.10803818702697754,0.6377708911895752,54.6384220123291,357.17649388313293,0.018346071243286133,333,132,132,132,164,1
65,0.3,9.288989782333374,2.413041114807129,5.596404075622559,20.688891172409058,0.6151659488677979,32856,19238,18968,18718,23289,1000
65,0.7,0.3509659767150879,0.9970541000366211,92.24703574180603,590.5319499969482,0.007405996322631836,882,288,288,288,296,1
65,0.7,30.852166891098022,2.975465774536133,5.647464990615845,32.69911599159241,0.2101728916168213,59937,31157,29874,29068,26349,1000
70,0.3,0.15819597244262695,0.6468253135681152,54.098532915115356,333.2626259326935,0.020505905151367188,333,132,132,132,170,1
70,0.3,9.49822211265564,1.4611468315124512,4.142507791519165,21.13625478744507,0.5042610168457031,38961,21984,22986,21885,27228,1000
70,0.7,0.37462878227233887,10.317923069000244,1096.0986609458923,4256.327431917191,0.008482933044433594,906,312,312,312,318,1
70,0.7,29.070117235183716,2.8485260009765625,6.529666900634766,40.513076066970825,0.22637414932250977,73305,36545,34690,33501,30392,1000
75,0.3,0.11834526062011719,0.733180046081543,56.099220991134644,334.7965168952942,0.02212977409362793,354,138,138,138,182,1
75,0.3,10.647789001464844,1.886214017868042,4.847275018692017,24.785299062728882,0.5299072265625,44424,26962,25811,25710,31621,1000
75,0.7,0.45447564125061035,11.580052137374878,1126.4633553028107,4298.699410915375,0.007691144943237305,1047,330,330,330,356,1
75,0.7,31.61488699913025,2.767141819000244,6.570093870162964,42.440016746520996,0.23976707458496094,80196,40700,41197,39919,35181,1000
80,0.3,0.13010501861572266,0.7100107669830322,59.3368661403656,384.5828778743744,0.026381254196166992,354,138,138,138,164,1
80,0.3,11.831051111221313,1.984640121459961,4.494821071624756,27.558918952941895,0.7133948802947998,53487,29410,29568,29337,36961,1000
80,0.7,0.42726707458496094,8.72560977935791,1012.8791899681091,4539.191473007202,0.05715608596801758,1059,342,342,342,348,1
80,0.7,29.00665307044983,3.2616968154907227,7.326130151748657,50.36179184913635,0.3124420642852783,99798,47767,47150,44195,41581,1000
85,0.3,0.46346116065979004,1.4644832611083984,67.41834330558777,413.6282796859741,0.026488065719604492,366,150,150,150,178,1
85,0.3,12.25252389907837,2.087891101837158,4.700016975402832,29.795189142227173,0.9700379371643066,54303,34512,33279,33127,41236,1000
85,0.7,0.5026118755340576,8.133242845535278,936.7771248817444,4404.672973155975,0.010154008865356445,1083,366,366,366,380,1
85,0.7,45.41481804847717,3.6051900386810303,8.260574102401733,54.33962798118591,0.31862401962280273,108186,55368,52976,51374,46096,1000
90,0.3,0.1300678253173828,0.7757840156555176,68.40420699119568,413.19821310043335,0.03606820106506348,372,156,156,156,190,1
90,0.3,11.330871105194092,2.291017770767212,5.274558067321777,36.67548489570618,0.8106389045715332,66234,39304,37643,37266,50066,1000
90,0.7,0.3961660861968994,6.711665153503418,979.0657999515533,4490.6394510269165,0.010631084442138672,1095,378,378,378,404,1
90,0.7,32.934565782547,6.448989152908325,13.779592990875244,62.114222049713135,0.35476207733154297,116802,61057,61078,58247,55474,1000
95,0.3,0.12860798835754395,0.7784371376037598,64.52259302139282,427.38491892814636,0.03025197982788086,372,156,156,156,202,1
