num_qubits,sample_probability,time_baseline_O0,time_baseline_O1,time_baseline_O2,time_baseline_O3,time_proposed,cx_count_baseline_O0,cx_count_baseline_O1,cx_count_baseline_O2,cx_count_baseline_O3,cx_count_proposed,considered_following_qubits
5,0.4,0.2649500370025635,0.03567695617675781,0.13824105262756348,0.1291031837463379,0.06649327278137207,33,18,18,18,27,1
10,0.4,0.1756429672241211,1.052083969116211,3.094080924987793,2.8241589069366455,0.033470869064331055,117,36,36,36,36,1
15,0.4,0.24710297584533691,1.04781174659729,56.17480969429016,64.6495611667633,0.07089519500732422,177,54,54,54,54,1
20,0.4,0.30336785316467285,1.1675126552581787,58.68578815460205,310.36984395980835,0.09553098678588867,219,60,60,60,66,1
25,0.4,0.5542330741882324,1.0652961730957031,47.86420297622681,259.3436369895935,0.06424212455749512,306,84,84,84,137,1
30,0.4,0.30471301078796387,1.1844828128814697,93.10610890388489,488.4570071697235,0.06900930404663086,183,90,90,90,108,1
35,0.4,0.29085493087768555,1.2636091709136963,105.16908597946167,552.3876442909241,0.1337740421295166,225,108,108,108,108,1
40,0.4,0.2635688781738281,1.3097341060638428,97.87265014648438,524.4671277999878,0.12248802185058594,225,108,108,108,108,1
45,0.4,0.3498532772064209,1.5396599769592285,106.66288423538208,524.5139708518982,0.2789621353149414,243,126,126,126,138,1
50,0.4,0.3216238021850586,1.4597690105438232,122.71760106086731,519.9573612213135,0.2977488040924072,261,144,144,144,162,1
55,0.4,0.19730901718139648,0.7195920944213867,65.09558033943176,393.92831587791443,0.043112993240356445,324,156,156,156,176,1
60,0.4,0.2269611358642578,0.7223198413848877,60.248220920562744,400.15768790245056,0.04572176933288574,429,168,168,168,188,1
65,0.4,0.22518396377563477,0.7924251556396484,65.11721277236938,425.8692500591278,0.0508880615234375,456,180,180,180,200,1
70,0.4,0.2677741050720215,0.8186578750610352,67.14734601974487,407.3861677646637,0.05672001838684082,465,186,186,186,212,1
75,0.4,0.20047688484191895,0.8374378681182861,68.69132995605469,408.5504877567291,0.10981607437133789,486,192,192,192,236,1
80,0.4,0.21010398864746094,1.1013610363006592,73.64137983322144,419.7848870754242,0.12445592880249023,492,198,198,198,218,1
85,0.4,0.4119551181793213,1.0945360660552979,80.4027259349823,460.4259798526764,0.12136101722717285,525,216,216,216,236,1
90,0.4,0.2465517520904541,1.0368871688842773,94.0764651298523,525.2239270210266,0.07835912704467773,531,222,222,222,248,1
95,0.4,0.24642515182495117,1.0657479763031006,96.5500910282135,543.3301410675049,0.07789373397827148,552,228,228,228,274,1
100,0.4,0.3127779960632324,1.2123491764068604,111.53328609466553,550.8071339130402,0.09806108474731445,558,234,234,234,252,1
